DATE,MIN,MAX,HUMIDITY,RAINFALL,DANGUE,LEVEL
2013-01--01,10.59794643,24.75705069,76.19262673,0.015668203,6,2
2013-02--01,14.73762677,29.17918367,69.65714286,0.270408163,7,2
2013-03--01,19.54926471,32.97640553,69.94193548,0.29124424,3,2
2013-04--01,22.7827957,33.90232323,73.16363636,1.98,3,2
2013-05--01,23.84705357,31.71345622,83.8516129,16.4921659,12,2
2013-06--01,25.70294931,33.20794118,83.42190476,13.28380952,50,2
2013-07--01,25.62991071,32.3081106,84.90230415,12.13640553,172,3
2013-08--01,25.35018382,31.90151803,86.59907834,12.8562212,339,4
2013-09--01,25.25520737,32.55676471,85.57428571,9.651428571,385,4
2013-010--01,23.49016544,31.13880184,85.76682028,7.998156682,501,4
2013-011--01,17.54193548,30.07047619,77.6952381,0.00952381,218,3
2013-012--01,14.31672794,26.49852535,79.82764977,0.012903226,53,2
2014-01--01,12.12784926,24.82940092,79.98156682,0.003686636,15,2
2014-02--01,14.18275862,27.2794898,74.07755102,0.914285714,7,2
2014-03--01,18.60284926,32.05880184,68.09308756,0.582488479,2,2
2014-04--01,23.28857143,35.76933333,69.26761905,0.896190476,0,1
2014-05--01,24.98392857,34.83953917,76.4359447,6.506912442,8,2
2014-06--01,25.45797235,32.93057143,84.90380952,19.00857143,9,2
2014-07--01,25.83517857,32.58516129,84.74101382,11.64516129,82,2
2014-08--01,25.46732143,31.96682028,86.99078341,14.36313364,80,2
2014-09--01,25.10912442,32.41514286,84.93714286,11.1952381,76,2
2014-010--01,23.068125,32.3898482,81.78709677,2.50875576,63,2
2014-011--01,18.13917051,30.44695238,78.46571429,0.047619048,22,2
2014-012--01,14.105,25.98036866,82.17695853,0.001843318,11,2
2015-01--01,13.22095588,25.3272296,79.61480076,0.341935484,0,1
2015-02--01,15.10456389,28.66302521,74.79621849,0.607142857,0,1
2015-03--01,18.60419643,32.29778802,67.5483871,0.705069124,2,2
2015-04--01,22.219447,32.58657143,77.82857143,5.79047619,6,2
2015-05--01,24.62080357,34.07170507,78.93917051,5.614746544,10,2
2015-06--01,25.44516129,32.56295238,84.28761905,19.23809524,28,2
2015-07--01,25.14955357,31.49290323,87.64239631,26.84516129,171,3
2015-08--01,25.64107143,32.15723502,86.49400922,14.61658986,765,5
2015-09--01,25.30516129,32.842,84.79047619,12.55047619,965,5
2015-010--01,23.33491071,32.33483871,82.62949309,4.239631336,869,5
2015-011--01,18.94903226,30.3207619,80.0552381,0.313333333,271,3
2015-012--01,15.02508929,26.06082949,80.35023041,0.243317972,75,2
2016-01--01,12.37,25.19917051,79.86820276,0.223963134,13,2
2016-02--01,17.4592381,29.57418719,76.97241379,1.413793103,3,2
2016-03--01,20.83892857,32.87428571,73.68940092,1.576036866,17,2
2016-04--01,24.87714286,34.328,76.59047619,2.713333333,38,2
2016-05--01,24.0475,33.579447,79.41013825,10.87281106,70,2
2016-06--01,25.46304147,33.22561905,82.17142857,10.45142857,254,3
2016-07--01,25.44455357,31.75041475,87.25069124,17.99354839,926,5
2016-08--01,25.635625,32.68073733,84.23133641,12.00092166,1451,5
2016-09--01,25.44248848,32.84733333,85.2952381,9.100952381,1544,7
2016-010--01,24.04321429,32.66543779,83.24608295,5.715207373,1077,5
2016-011--01,18.76368664,29.75666667,80.58761905,2.877142857,522,4
2016-012--01,15.45232143,27.73308756,80.92442396,0.025806452,145,3
2017-01--01,12.52008929,26.67105991,75.38156682,0.012903226,92,2
2017-02--01,15.40206897,29.66734694,71.10306122,0.191836735,58,2
2017-03--01,18.989375,30.35235023,75.28202765,3.906912442,36,2
2017-04--01,22.92599078,32.51904762,78.76095238,9.127619048,73,2
2017-05--01,24.68669643,34.23013825,78.48940092,7.239631336,134,3
2017-06--01,25.27922201,32.95485714,84.06952381,16.60857143,267,3
2017-07--01,25.46526786,31.64092166,87.45069124,23.26728111,286,3
2017-08--01,25.73982143,32.55640553,85.80829493,16.01105991,346,4
2017-09--01,25.51603687,32.77180952,86.3352381,12.50666667,430,4
2017-010--01,23.93580357,31.70211982,84.71059908,9.489400922,512,4
2017-011--01,19.08101382,30.25704762,79.24761905,0.379047619,409,4
